Symbolic 50/500 Ec	İnsektisitler	Sıvı Formülasyonlar	02.04.2001	3926	Chlorpyrifos-Ethyl+Cypermet	500+50 g/l	Tezcan	
Reldan 22 E	İnsektisitler	Sıvı Formülasyonlar	26.09.1985	1827	Chlorpyrifos-Methyl	227 g/l	Dow AgroSciences	
Bazinon 20 EM	İnsektisitler	Sıvı Formülasyonlar	22.03.1973	859	Diazinon	185 g/l	Koruma	
Kimyagerler Bazudin	İnsektisitler	Sıvı Formülasyonlar	16.03.1975	1255	Diazinon	185 g/l	Kimyagerler	
Diazudin 20 EC	İnsektisitler	Sıvı Formülasyonlar	23.12.1982	1549	Diazinon	185 g/l	Midiltipi	
Hekzudin 20 EM	İnsektisitler	Sıvı Formülasyonlar	07.08.1984	1681	Diazinon	185 g/l	Takimsan	
Hezudin 20 eM	İnsektisitler	Sıvı Formülasyonlar	23.08.1984	1702	Diazinon	185 g/l	Hektaş	
Basudin 20 EM	İnsektisitler	Sıvı Formülasyonlar	24.08.1984	1706	Diazinon	185 g/l	Syngenta	
Adizon 20 EC	İnsektisitler	Sıvı Formülasyonlar	19.12.1984	1722	Diazinon	185 g/l	Atabay	
Diazol 20 EC	İnsektisitler	Sıvı Formülasyonlar	29.09.1987	2049	Diazinon	185 g/l	Agro-San	
Dekzinon 185 EC	İnsektisitler	Sıvı Formülasyonlar	18.12.1987	2072	Diazinon	185 g/l	Atabay Kimya	
Polinon 20 EM	İnsektisitler	Sıvı Formülasyonlar	28.01.1988	2116	Diazinon	185 g/l	Polisan	
Arızinon 20 EC	İnsektisitler	Sıvı Formülasyonlar	06.01.1989	2262	Diazinon	185 g/l	Arı Kimya	
Bazimidol 20 EC	İnsektisitler	Sıvı Formülasyonlar	06.02.1995	2796	Diazinon 	185 g/l	İzmir Kimya	
İlteriş Diazinon 20 EC	İnsektisitler	Sıvı Formülasyonlar	23.05.1996	2943	Diazinon	185 g/l	İlteriş	
Cansa Diazinon 20 EC	İnsektisitler	Sıvı Formülasyonlar	29.07.1997	3228	Diazinon	185 g/l	Cansa	
Dart 20 EC	İnsektisitler	Sıvı Formülasyonlar	15.06.1998	3429	Diazinon	185 g/l	Doğal	
Akzinon 20 EM	İnsektisitler	Sıvı Formülasyonlar	20.08.1996	2990	Diazinon 	185 g/l	Aydın Kimya	
Bazinon 63 EM	İnsektisitler	Sıvı Formülasyonlar	09.04.1973	886	Diazinon	630 g/l	Koruma	
Hezudin 63 EM	İnsektisitler	Sıvı Formülasyonlar	30.11.1982	1543	Diazinon	630 g/l	Hektaş	
Basudin 60 EM	İnsektisitler	Sıvı Formülasyonlar	07.04.1983	1576	Diazinon	630 g/l	Syngenta	
Hekzudin 63 EM	İnsektisitler	Sıvı Formülasyonlar	07.08.1984	1682	Diazinon	630 g/l	Takimsan	
Diazol 60 EC	İnsektisitler	Sıvı Formülasyonlar	18.09.1985	1787	Diazinon	630 g/l	Agro-San	
Arizinon 63 EC	İnsektisitler	Sıvı Formülasyonlar	13.02.1989	2278	Diazinon	630 g/l	Arı Kimya	
Flozinon 63 EC	İnsektisitler	Sıvı Formülasyonlar	19.04.1995	2812	Diazinon	630 g/l	Flogaz	
Polinon 63 EC	İnsektisitler	Sıvı Formülasyonlar	22.05.1998	3418	Diazinon	630 g/l	Polisan	
Dart 60 EC	İnsektisitler	Sıvı Formülasyonlar	08.09.1998	3484	Diazinon	630 g/l	Doğal	
Bayer DDVP EC 550	İnsektisitler	Sıvı Formülasyonlar	22.09.1965	427	Dichlorvos	550 g/l	Bayer	
Bayer DDVP EC 550	İnsektisitler	Sıvı Formülasyonlar	15.06.1966	481	Dichlorvos	550 g/l	Bayer	
Koruma DDVP 55 EM	İnsektisitler	Sıvı Formülasyonlar	02.06.1973	882	Dichlorvos	550 g/l	Koruma	
Midiltipi DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	04.05.1977	1095	Dichlorvos	550 g/l	Midiltipi	
Atabay  DDVP 550 EC	İnsektisitler	Sıvı Formülasyonlar	25.03.1982	1496	Dichlorvos	550 g/l	Atabay	
Didifos 55 EC	İnsektisitler	Sıvı Formülasyonlar	25.03.1982	1579	Dichlorvos	550 g/l	Hektaş	
Nogos 50 EC	İnsektisitler	Sıvı Formülasyonlar	25.01.1984	1629	Dichlorvos	550 g/l	Syngenta	
Hedefos 55 EC	İnsektisitler	Sıvı Formülasyonlar	07.08.1984	1679	Dichlorvos	550 g/l	Takimsan	
İlteriş DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	05.04.1985	1764	Dichlorvos	550 g/l	İlteriş	
Agro-DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	18.09.1985	1808	Dichlorvos	550 g/l	Agro-San	
Özer DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	11.09.1986	1939	Dichlorvos	550 g/l	Ür-Pa	
Kimyagerler DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	27.04.1987	2004	Dichlorvos	550 g/l	Kimyagerler	
Arı DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	12.08.1988	2183	Dichlorvos	550 g/l	Arı Kimya	
Poli DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	13.02.1989	2280	Dichlorvos	550 g/l	Polisan	
İzo-DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	02.12.1993	2678	Dichlorvos	550 g/l	İzmir Kimya	
